company_id,type,rule_id,text,confidence_pct
ABB,con,CON_FALLBACK,Limited historical data available for comprehensive analysis,65
ABB,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,80
ABB,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
ABB,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,67
ABB,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,73
ABB,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,77
ADANIENSOL,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,63
ADANIENSOL,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,84
ADANIENSOL,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,85
ADANIENSOL,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,78
ADANIENSOL,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
ADANIENT,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,66
ADANIENT,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,83
ADANIENT,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,87
ADANIENT,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,84
ADANIENT,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
ADANIENT,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,81
ADANIENT,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,74
ADANIENT,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,67
ADANIGREEN,con,CON_01,Debt-to-equity ratio of 6.4 is elevated for a non-financial company and warrants monitoring,100
ADANIGREEN,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100
ADANIGREEN,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,100
ADANIGREEN,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
ADANIGREEN,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
ADANIPORTS,con,CON_FALLBACK,Limited historical data available for comprehensive analysis,65
ADANIPORTS,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
ADANIPORTS,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
ADANIPORTS,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,72
ADANIPOWER,con,CON_FALLBACK,Limited historical data available for comprehensive analysis,65
ADANIPOWER,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,93
ADANIPOWER,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,100
ADANIPOWER,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,82
ADANIPOWER,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
ADANIPOWER,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,100
ADANIPOWER,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,68
AMBUJACEM,con,CON_FALLBACK,Limited historical data available for comprehensive analysis,65
AMBUJACEM,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
APOLLOHOSP,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,66
APOLLOHOSP,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,95
APOLLOHOSP,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,100
APOLLOHOSP,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
APOLLOHOSP,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,72
APOLLOHOSP,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100
APOLLOHOSP,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100
ASIANPAINT,con,CON_08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,65
ASIANPAINT,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,72
ASIANPAINT,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,100
ASIANPAINT,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
ASIANPAINT,pro,PRO_08,Consistent dividend yield above 2% backed by positive free cash flow,64
ASIANPAINT,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,79
ATGL,con,CON_FALLBACK,Limited historical data available for comprehensive analysis,65
ATGL,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,82
ATGL,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,75
ATGL,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,90
ATGL,pro,PRO_11,Revenue growing slower than profits shows improving operating leverage and scale benefits,62
ATGL,pro,PRO_12,Growing asset base funded by internal accruals reflects self-sustaining growth,80
AXISBANK,con,CON_10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,68
AXISBANK,con,CON_11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100
AXISBANK,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,79
